,city,temp,cloudiness,country,date,humidity,lat,lng,max temp,wind speed
213,vao,77.2,90.0,AU,1586232970.0,78.0,-16.92,145.77,80.01,9.17
214,saint-philippe,45.99,40.0,CA,1586232971.0,57.0,49.17,-123.94,50.0,3.36
215,nelson bay,68.0,90.0,JP,1586232972.0,60.0,28.37,129.48,68.0,3.36
216,inta,83.32,19.0,MM,1586232974.0,59.0,20.15,92.9,83.32,2.68
217,la rochelle,51.35,47.0,RU,1586232975.0,61.0,51.6,82.29,51.35,4.68
218,winfield,81.75,0.0,ML,1586232976.0,12.0,14.73,-6.12,81.75,11.1
219,la romana,63.39,20.0,MX,1586232978.0,69.0,17.22,-93.15,63.39,2.3
220,diamantino,84.2,20.0,PH,1586232979.0,79.0,18.47,120.58,84.2,9.17
221,diffa,42.93,75.0,NO,1586232982.0,87.0,63.66,9.57,44.6,13.87
222,peniche,11.79,12.0,CA,1586232983.0,73.0,66.15,-65.71,11.79,7.18
223,maceio,42.8,75.0,JP,1586232984.0,70.0,44.02,144.27,42.8,12.75
224,ishigaki,25.02,99.0,RU,1586232985.0,96.0,67.45,153.68,25.02,13.78
225,samusu,72.18,40.0,MG,1586232987.0,88.0,-13.2,49.05,72.18,3.71
226,ust-koksa,45.48,1.0,US,1586232988.0,23.0,42.16,-72.33,52.0,6.93
227,tall kayf,38.14,75.0,CN,1586232990.0,43.0,42.19,127.48,38.14,12.53
228,longyearbyen,32.56,98.0,RU,1586232991.0,94.0,45.23,147.88,32.56,19.37
229,camopi,80.98,70.0,GH,1586232733.0,83.0,4.87,-2.24,80.98,5.06
230,nuevo progreso,84.09,30.0,PF,1586232993.0,79.0,-17.73,-149.15,84.2,9.17
231,asyut,74.1,88.0,ZA,1586232994.0,87.0,-28.78,32.04,74.1,14.88
232,tezu,55.0,40.0,IL,1586232996.0,87.0,31.61,34.76,59.0,4.7
233,tumannyy,34.21,100.0,RU,1586232997.0,95.0,63.9,122.76,34.21,6.89
234,cairns,28.22,0.0,RU,1586232998.0,87.0,54.06,44.9,28.22,15.59
235,tabiauea,30.2,90.0,RU,1586232999.0,92.0,51.25,58.24,30.2,22.37
236,nanaimo,60.8,0.0,CL,1586233001.0,87.0,-27.37,-70.33,60.8,3.36
237,naze,80.6,75.0,LA,1586233002.0,61.0,16.57,104.75,80.6,4.7
238,akyab,72.07,0.0,CV,1586233004.0,80.0,14.9,-24.5,72.07,15.37
239,matameye,32.9,100.0,RU,1586233005.0,97.0,65.82,87.98,32.9,2.71
240,kurya,86.05,51.0,ID,1586233006.0,70.0,-0.88,131.25,86.05,3.96
241,sokolo,64.4,75.0,JP,1586233007.0,63.0,31.46,131.23,64.4,11.41
242,ocotepec,63.68,20.0,JP,1586233009.0,42.0,35.55,133.23,64.4,6.93
